
# MV2_CUDA_SMP_IPC=1
# MV2_CUDA_NONBLOCKING_STREAMS=1
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=1
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.39
2                         2.80
4                         5.77
8                        11.48
16                       23.02
32                       46.01
64                       91.30
128                     181.52
256                     355.56
512                     698.97
1024                   1078.42
2048                   1679.77
4096                   2351.90
8192                   5328.64
16384                  8587.42
32768                  9157.83
65536                  9504.41
131072                 9719.04
262144                 9808.11
524288                 9861.71
1048576                9883.34
2097152                9606.33
4194304                9572.09
##########
