
#MV2_CUDA_SMP_IPC=1
#MV2_CUDA_NONBLOCKING_STREAMS=1
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=0
#CL_DEVICE_NAME:       Tesla K20c
#CL_DEVICE_NAME:       Tesla K20c
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.79
2                         5.55
4                        11.17
8                        22.42
16                       44.62
32                       87.60
64                      178.55
128                     352.05
256                     679.31
512                    1243.57
1024                   2115.42
2048                   3754.65
4096                   5956.51
8192                   8142.42
16384                  7111.40
32768                  9398.04
65536                  9108.04
131072                10746.27
262144                10047.44
524288                 9716.79
1048576                9758.10
2097152                9557.19
4194304                9866.32
##########
