
#MV2_CUDA_SMP_IPC=0
#MV2_CUDA_NONBLOCKING_STREAMS=0
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=1
#CL_DEVICE_NAME:       Tesla K20c
#CL_DEVICE_NAME:       Tesla K20c
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.65
2                         5.25
4                        10.55
8                        20.98
16                       42.88
32                       50.05
64                      171.75
128                     331.40
256                     646.28
512                    1191.60
1024                   2081.15
2048                   3749.27
4096                   5909.45
8192                   8193.39
16384                  8493.72
32768                  9295.74
65536                 10968.38
131072                11507.00
262144                10057.42
524288                 9655.39
1048576                9778.56
2097152                9563.24
4194304                9751.02
##########
