
# MV2_CUDA_SMP_IPC=0
# MV2_CUDA_NONBLOCKING_STREAMS=1
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=1
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.38
2                         2.78
4                         5.51
8                        11.14
16                       22.39
32                       44.73
64                       87.45
128                     173.11
256                     360.09
512                     701.22
1024                   1082.49
2048                   1691.04
4096                   2356.53
8192                   5265.99
16384                  8574.03
32768                  9186.04
65536                  9537.90
131072                 9716.89
262144                 9811.52
524288                 9858.91
1048576                9885.23
2097152                9594.24
4194304                9577.51
##########
