
# MV2_CUDA_SMP_IPC=1
# MV2_CUDA_NONBLOCKING_STREAMS=1
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=0
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.41
2                         2.83
4                         5.61
8                        11.31
16                       22.78
32                       45.40
64                       91.96
128                     182.42
256                     356.72
512                     707.10
1024                   1087.38
2048                   1693.43
4096                   2363.37
8192                   5242.39
16384                  8580.72
32768                  9195.64
65536                  9543.34
131072                 9728.71
262144                 9818.99
524288                 9863.75
1048576                9884.07
2097152                9898.13
4194304                9857.82
##########
