
#MV2_CUDA_SMP_IPC=1
#MV2_CUDA_NONBLOCKING_STREAMS=0
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=1
#CL_DEVICE_NAME:       Tesla K20c
#CL_DEVICE_NAME:       Tesla K20c
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.78
2                         5.57
4                        11.13
8                        22.37
16                       44.52
32                       89.48
64                      178.16
128                     352.19
256                     679.52
512                    1238.86
1024                   2117.54
2048                   3740.60
4096                   5932.08
8192                   8151.47
16384                  8546.53
32768                  9322.34
65536                 11018.88
131072                11384.50
262144                 9785.26
524288                 9671.38
1048576                9758.16
2097152                9710.05
4194304                9737.32
##########
