
# MV2_CUDA_SMP_IPC=1
# MV2_CUDA_NONBLOCKING_STREAMS=0
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=1
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.38
2                         2.68
4                         5.78
8                        11.60
16                       23.09
32                       45.87
64                       91.86
128                     181.04
256                     359.79
512                     699.86
1024                   1077.36
2048                   1689.74
4096                   2330.61
8192                   5231.91
16384                  8588.26
32768                  9167.85
65536                  9505.44
131072                 9719.71
262144                 9747.11
524288                 9860.40
1048576                9884.93
2097152                9605.88
4194304                9575.29
##########
