
# MV2_CUDA_SMP_IPC=0
# MV2_CUDA_NONBLOCKING_STREAMS=1
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=0
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.42
2                         2.85
4                         5.70
8                        11.44
16                       22.75
32                       46.55
64                       93.09
128                     185.60
256                     365.16
512                     710.02
1024                   1090.79
2048                   1684.77
4096                   2368.92
8192                   5229.92
16384                  8587.42
32768                  9198.05
65536                  9542.30
131072                 9725.89
262144                 9819.60
524288                 9861.26
1048576                9886.39
2097152                9891.02
4194304                9863.66
##########
