
# MV2_CUDA_SMP_IPC=0
# MV2_CUDA_NONBLOCKING_STREAMS=1
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=0
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.44
2                         2.88
4                         5.77
8                        11.60
16                       23.13
32                       46.21
64                       92.17
128                     182.20
256                     359.94
512                     700.18
1024                   1078.80
2048                   1684.77
4096                   2349.79
8192                   5237.64
16384                  8378.83
32768                  9185.56
65536                  9535.84
131072                 9716.35
262144                 9812.07
524288                 9861.26
1048576                9883.86
2097152                9596.81
4194304                9580.22
##########
