
#MV2_CUDA_SMP_IPC=1
#MV2_CUDA_NONBLOCKING_STREAMS=0
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=0
#CL_DEVICE_NAME:       Tesla K20c
#CL_DEVICE_NAME:       Tesla K20c
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.77
2                         5.55
4                        11.15
8                        22.27
16                       44.54
32                       89.43
64                      177.55
128                     345.95
256                     680.66
512                    1244.47
1024                   2131.33
2048                   3756.70
4096                   5973.98
8192                   8239.44
16384                  8573.19
32768                  9368.51
65536                 10944.16
131072                11501.54
262144                 9697.21
524288                 9704.83
1048576                9775.01
2097152                9620.90
4194304                9506.90
##########
