
# MV2_CUDA_SMP_IPC=1
# MV2_CUDA_NONBLOCKING_STREAMS=1
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=1
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.42
2                         2.80
4                         5.69
8                        11.40
16                       23.12
32                       46.49
64                       92.88
128                     184.01
256                     364.08
512                     708.96
1024                   1076.64
2048                   1699.14
4096                   2367.19
8192                   5196.55
16384                  8573.19
32768                  9191.80
65536                  9541.01
131072                 9728.71
262144                 9818.71
524288                 9863.72
1048576                9886.69
2097152                9898.28
4194304                9847.88
##########
