
# MV2_CUDA_SMP_IPC=0
# MV2_CUDA_NONBLOCKING_STREAMS=0
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=1
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.45
2                         2.90
4                         5.82
8                        11.68
16                       23.25
32                       46.45
64                       92.77
128                     183.35
256                     360.86
512                     703.77
1024                   1085.02
2048                   1693.85
4096                   2355.73
8192                   5246.64
16384                  8588.26
32768                  9191.80
65536                  9535.84
131072                 9718.63
262144                 9813.23
524288                 9861.54
1048576                9884.73
2097152                9592.91
4194304                9576.51
##########
