
# MV2_CUDA_SMP_IPC=1
# MV2_CUDA_NONBLOCKING_STREAMS=0
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=0
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.46
2                         2.92
4                         5.85
8                        11.74
16                       23.38
32                       46.68
64                       93.32
128                     185.01
256                     363.77
512                     708.19
1024                   1087.38
2048                   1695.16
4096                   2364.24
8192                   5217.26
16384                  8598.33
32768                  9199.97
65536                  9544.63
131072                 9731.00
262144                 9820.42
524288                 9864.03
1048576                9886.76
2097152                9895.87
4194304                9859.98
##########
