
#MV2_CUDA_SMP_IPC=0
#MV2_CUDA_NONBLOCKING_STREAMS=1
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=0
#CL_DEVICE_NAME:       Tesla K20c
#CL_DEVICE_NAME:       Tesla K20c
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.79
2                         4.93
4                        11.12
8                        22.15
16                       44.20
32                       81.50
64                      178.79
128                     353.10
256                     682.69
512                    1240.31
1024                   2130.67
2048                   3789.33
4096                   5978.21
8192                   7096.37
16384                  8545.70
32768                  9306.07
65536                 10942.80
131072                11444.12
262144                10082.78
524288                 9684.53
1048576                9750.94
2097152                9509.38
4194304                9719.07
##########
