
#MV2_CUDA_SMP_IPC=1
#MV2_CUDA_NONBLOCKING_STREAMS=1
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=1
# OSU MPI-CUDA Bandwidth Test v4.4.1
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.01
2                       0.02
4                       0.04
8                       0.08
16                      0.15
32                      0.31
64                      0.62
128                     1.23
256                     2.46
512                     4.90
1024                    9.80
2048                   19.50
4096                   39.07
8192                   78.19
16384                 147.86
32768                 302.64
65536                 603.90
131072               1202.85
262144               2334.79
524288               4355.80
1048576              6843.62
2097152              6919.29
4194304              6953.84
##########
