
# MV2_CUDA_SMP_IPC=1
# MV2_CUDA_NONBLOCKING_STREAMS=1
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=0
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.44
2                         2.90
4                         5.78
8                        11.62
16                       23.18
32                       45.56
64                       91.90
128                     182.42
256                     360.32
512                     702.26
1024                   1081.43
2048                   1683.42
4096                   2349.99
8192                   5226.06
16384                  8574.03
32768                  9185.56
65536                  9534.54
131072                 9697.74
262144                 9798.61
524288                 9855.46
1048576                9885.23
2097152                9604.99
4194304                9572.62
##########
