
#MV2_CUDA_SMP_IPC=1
#MV2_CUDA_NONBLOCKING_STREAMS=1
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=1
#CL_DEVICE_NAME:       Tesla K20c
#CL_DEVICE_NAME:       Tesla K20c
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.76
2                         4.61
4                        11.21
8                        22.42
16                       26.28
32                       89.94
64                      179.11
128                     353.71
256                     682.42
512                    1247.29
1024                   2136.14
2048                   3776.31
4096                   5973.98
8192                   8205.00
16384                  8588.26
32768                  9358.04
65536                 10251.26
131072                 8566.41
262144                10165.22
524288                 9724.81
1048576                9721.62
2097152                7524.83
4194304                9720.48
##########
