
# MV2_CUDA_SMP_IPC=0
# MV2_CUDA_NONBLOCKING_STREAMS=0
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=1
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.39
2                         2.92
4                         5.86
8                        11.76
16                       22.87
32                       46.77
64                       93.47
128                     185.22
256                     356.56
512                     709.11
1024                   1089.53
2048                   1695.63
4096                   2366.78
8192                   5181.73
16384                  8594.97
32768                  9198.05
65536                  9542.30
131072                 9729.79
262144                 9818.99
524288                 9863.58
1048576                9886.69
2097152                9897.73
4194304                9860.21
##########
