
# MV2_CUDA_SMP_IPC=1
# MV2_CUDA_NONBLOCKING_STREAMS=0
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=1
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.43
2                         2.85
4                         5.69
8                        11.47
16                       22.82
32                       46.68
64                       93.28
128                     184.01
256                     363.85
512                     715.79
1024                   1097.93
2048                   1707.32
4096                   2378.15
8192                   5209.47
16384                  8594.13
32768                  9206.23
65536                  9533.77
131072                 9732.08
262144                 9813.85
524288                 9856.91
1048576                9875.92
2097152                9897.59
4194304                9861.65
##########
